href,aantal_keer,voorkomende_urls,title,status,publisher,editors,date,id
https://www.geonovum.nl,32,"[""https:\/\/docs.geostandaarden.nl\/.\/disgeo\/dll3a"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/handreiking-EU-informatie"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/handreiking-EU-informatie"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/handreiking-EU-informatie"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/handreiking-EU-informatie"",""https:\/\/docs.geostandaarden.nl\/.\/gsw\/gsw"",""https:\/\/docs.geostandaarden.nl\/.\/gsw\/gsw"",""https:\/\/docs.geostandaarden.nl\/.\/gsw\/gsw"",""https:\/\/docs.geostandaarden.nl\/.\/gsw\/gsw"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/scope"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/scope"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/scope"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/scope"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/basis-al-scope-20220805"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/basis-al-scope-20220805"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/basis-al-scope-20220805"",""https:\/\/docs.geostandaarden.nl\/.\/imka\/basis-al-scope-20220805"",""https:\/\/docs.geostandaarden.nl\/.\/imx\/lineagemodel"",""https:\/\/docs.geostandaarden.nl\/.\/imx\/lineagemodel"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/wpungii"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/wpungii"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/wpungii"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/wpungii"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20210910"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20210910"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20210910"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20210910"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20220204"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20220204"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20220204"",""https:\/\/docs.geostandaarden.nl\/.\/ngii\/basis-hr-wpungii-20220204"",""https:\/\/docs.geostandaarden.nl\/.\/vg\/imvg""]","[""Titel van Publicatie-4"",""Titel van Publicatie-1"",""Titel van Publicatie-2"",""Titel van Publicatie-3"",""BAG objectenhandboek 2009-2014""]","[""V1.0.1""]","[""Publisher-4"",""Publisher-1"",""Publisher-2"",""Publisher-3"",""KING""]",[],"[""Maand Jaar""]",[]
https://www.iso.org/standard/39891.html,15,"[""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/basis--img-cr-20200922"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img-cr"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20200903-pre"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210319"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210416"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210430"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210504"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210511"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210924"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20211008"",""https:\/\/docs.geostandaarden.nl\/.\/disgeo\/dll2"",""https:\/\/docs.geostandaarden.nl\/.\/imx\/imx-geo"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19115"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19119""]","[""Geographic information -- Rules for application schema""]",[],"[""International Organization for Standardization""]",[],"[""2005-06""]","[""iso19108-2005""]"
https://semver.org,14,"[""https:\/\/docs.geostandaarden.nl\/.\/3d\/3d-tiling"",""https:\/\/docs.geostandaarden.nl\/.\/3d\/ld-hr-3d-tiling-20250113"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-encryption"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-signing-jades"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/handreiking-hvd"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/ld-hr-handreiking-hvd-20240418"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/ld-hr-handreiking-hvd-20240828"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/ld-hr-handreiking-hvd-20241212"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/wv-hr-handreiking-hvd-20140311"",""https:\/\/docs.geostandaarden.nl\/.\/gbd\/gsb"",""https:\/\/docs.geostandaarden.nl\/.\/img\/img-wijzigingsprotocol"",""https:\/\/docs.geostandaarden.nl\/.\/imx\/modelmapping"",""https:\/\/docs.geostandaarden.nl\/.\/kl\/imkl"",""https:\/\/docs.geostandaarden.nl\/.\/rwgs\/wijzigingsprotocol""]","[""Semantic Versioning 2.0.0""]",[],[],[],"[""June 2013""]",[]
"http://url van de publicatie",14,"[""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/basis--img-cr-20200922"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img-cr"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20200903-pre"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210319"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210416"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210430"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210504"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210511"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210924"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20211008"",""https:\/\/docs.geostandaarden.nl\/.\/disgeo\/dll2"",""https:\/\/docs.geostandaarden.nl\/.\/mim\/him10"",""https:\/\/docs.geostandaarden.nl\/.\/mim\/mim10""]","[""Titel van het Citaat""]","[""versie van de publicatie""]","[""naam van de publiceerder""]",[],[],[]
https://docs.geostandaarden.nl/mim/mim10/,12,"[""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/basis--img-cr-20200922"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img-cr"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20200903-pre"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210319"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210416"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210430"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210504"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210511"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210924"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20211008"",""https:\/\/docs.geostandaarden.nl\/.\/nen3610\/nldp""]","[""MIM - Metamodel Informatie Modellering""]","[""Definitief""]","[""Geonovum""]",[],"[""2017-06-14""]","[""mim10""]"
https://www.iso.org/standard/44212.html,11,"[""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/img"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210319"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210416"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210430"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210504"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210511"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210924"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20211008"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/VerkenningDataspaces"",""https:\/\/docs.geostandaarden.nl\/.\/imx\/imx-geo"",""https:\/\/docs.geostandaarden.nl\/.\/rwgs\/rw""]","[""Geographic information -- Encoding"",""ISO 19118:2011 Geographic information \u2014 Encoding""]","[""Published""]","[""International Organization for Standardization"",""ISO""]",[],"[""2011-10"",""Oktober 2011""]","[""iso19118-2011"",""iso19118""]"
https://tools.ietf.org/html/rfc6749,10,"[""https:\/\/docs.geostandaarden.nl\/.\/3dbv\/basis-al-prod-20200716"",""https:\/\/docs.geostandaarden.nl\/.\/3dbv\/basis-al-prod-20200903"",""https:\/\/docs.geostandaarden.nl\/.\/3dbv\/basis-al-prod-20201009"",""https:\/\/docs.geostandaarden.nl\/.\/3dbv\/basis-al-prod-20210331"",""https:\/\/docs.geostandaarden.nl\/.\/3dbv\/basis-al-prod-20211222"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-architectuur"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-ext"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-gebruikerswensen"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-access-control""]","[""The OAuth 2.0 Authorization Framework""]",[],"[""The Internet Engineering Task Force""]",[],"[""October 2012""]","[""oauth2""]"
https://www.iso.org/standard/26020.html,10,"[""https:\/\/docs.geostandaarden.nl\/.\/eu\/VerkenningDataspaces"",""https:\/\/docs.geostandaarden.nl\/.\/eu\/VerkenningDataspaces"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19115"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19115"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19115"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19119"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19119"",""https:\/\/docs.geostandaarden.nl\/.\/md\/mdprofiel-iso19119"",""https:\/\/docs.geostandaarden.nl\/.\/rwgs\/rw"",""https:\/\/docs.geostandaarden.nl\/.\/rwgs\/rw""]","[""ISO 19115:2003 Geographic information -- Metadata"",""ISO 19115:2003\/Cor 1:2006 Geographic information \u2014 Metadata \u2014 Technical Corrigendum 1"",""ISO 19115:2003  Geographic information -- Metadata"",""ISO19115:2005\/AC:2008  Geographic information \u2013 Metadata, Technical Corrigendum 1""]","[""Adopted specification"",[""Adopted specification""]]","[""International Organization for Standardization""]",[],"[""May 2003"",""June 2006"",""Mei 2003"",""2008""]","[""iso19115-2003"",""iso19115-2005"",""iso19115-2008"",""iso19115-2006""]"
https://www.nen.nl/NEN-Shop/Norm/NEN-36102011-nl.htm,9,"[""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210319"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210416"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210430"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210504"",""https:\/\/docs.geostandaarden.nl\/.\/cvgg\/wv-im-img-20210511"",""https:\/\/docs.geostandaarden.nl\/.\/g4w\/geox"",""https:\/\/docs.geostandaarden.nl\/.\/imx\/imx-geo"",""https:\/\/docs.geostandaarden.nl\/.\/mim\/wv-st-mim11-20191029"",""https:\/\/docs.geostandaarden.nl\/.\/nen3610\/nldp""]","[""NEN 3610:2011 nl - Basismodel geo-informatie - Termen, definities, relaties en algemene regels voor de uitwisseling van informatie over aan de aarde gerelateerde ruimtelijke objecten"",""NEN-3610 Basismodel geo-informatie""]","[""Definitief"",""2016""]","[""NEN"",""""]",[],"[""2011-03-01""]","[""NEN 3610:2011 nl"",""nen3610""]"
http://stateless.co/hal_specification.html,8,"[""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-architectuur"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-ext"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-gebruikerswensen"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-access-control"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-geo"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-hypermedia"",""https:\/\/docs.geostandaarden.nl\/.\/api\/API-Strategie-mod-naming-conventions""]","[""HAL - Hypertext Application Language""]",[],[],[],"["" 2013-09-18""]","[""hal""]"
